tf_code,tf_name,sf_code,sf_name,distance_km
543492,فست فود نانداک,3x15y9,فست فود نانداک,0.013
566636,پیراشکی بخارپز آرین,7jylzg,پیراشکی بخار پز آرین,0.344
586736,پیتزا وساندویچ توپر (برادران قدیم),85ex7y,ساندویچ و پیتزا توپر,0.017
596842,طباخی و کله پزی شهر ما,pom9jk,طباخی شهرما,0.207
2o3l8p,اغذیه کیان,dq7r4x,اغذیه کیان,0.028
5r71x2,تهیه غذای گلچین,pvrw81,گلچین,0.061
5oxo4z,ساندویچ حسین ویچ,325512,فست فود مشهد ویچ,7.152
2k6zzl,ساندویچ شهر پروتئین,l2dx49,ساندویچ سرد شهر پروتئین,5.87
5ww985,کترینگ و رستوران آبتین,0rx9kz,کترینگ و رستوران آبتین,0.219
2gxrzp,کافه رستوران دلیش,znko9o,فست فود و صبحانه دلیش,0.019
5o6xo2,رستوران و کترینگ طهرانی,0j4w86,رستوران و کترینگ طهرانی,0.01
21zxx5,فست فود عمو کاظم,0rw8go,فست فود عمو کاظم,0.2
5wx1w2,رستوران جاودانی,p8yelm,رستوران جاودانی,0.358
2zn8o2,رستوران وثوقی,31l2nk,رستوران وثوقی,0.07
5zlx4g,فست فود ارمیا,pvjgmv,فست فود ارمیا,0.341
2w76y1,فست فود موران,r5qr68,پیتزا وساندویچ موران,0.017
5xw712,تهیه غذای بهار نارنج,p8d6k5,تهیه غذای بهار نارنج,0.213
2r6wwl,ساندویچ ثمین(شعبه شکری),0lg84e,ساندویچ ثمین,0.015
2w9oo2,ساندویچ سرد و گرم متین,0mg2vz,ساندویچ سرد و گرم متین,0.143
533orw,حشمت کباب (شعبه دو),mey5lz,چلو خونه حشمت (شعبه 2),0.134
28zwk2,فست فود زوپیر (فودکورت آبان),3kd96j,فست فود زوپیر,0.057
2k36nz,کره کباب درویشی,09omlq,کره کباب درویشی,0.348
5knmk2,کره کباب رئوف,12j5k7,کره کباب رئوف,0.08
298y85,جگرکی و سیرابی مجید,nnqwlz,جگرکی و سیرابی مجید,0.008
264x32,صبحانه گرم ممیشی,0l9dok,صبحانه گرم ممیشی,0.141
271yg1,رستوران‌پایزانو ,gnkqn2,فست فود پایزانو,0.228
5klo9w,کافه پیراشکی (شعبه دانش آموز),dq5m9d,کافه پیراشکی (شعبه دانش آموز),0.063
266ol9,کافه رستوران رومادو,3775zx,کافه رستوران رومادو (هاشمیه),0.036
2y4rgg,ویل برگر,vx1kgx,ویل برگر (وکیل آباد),1.076
2rpkr2,کباب سلطان (شعبه رضاشهر),3koexq,کباب سلطان (رضاشهر),4.222
59ngx1,کافه غذا ابرا,wd4n8z,کافه غذا ابرا,0.029
58p6lw,کباب سرای رمضانی ,0q57ed,کبابسرای رمضانی (شعبه 1),0.052
29gmp2,ساندویچ میخک (شعبه2),0jn4o6,فست فود میخک,0.057
53o645,کافه رستوران بلک سالت,p5xr1j,بلک سالت (شعبه سجاد),0.733
234w35,چلوخونه حشمت پلاس ,wdz8v8,چلو خونه حشمت (شعبه کوثر),0.047
59x1p8,میلان ویچ ,94xq86,فست فود میلان ویچ,0.028
53w6z5,فست فود نوشین (منتظری),0ykkzm,فست فود نوشین (منتظری),0.241
5oxr16,پیتزا طلائی شعبه ۲,31le4y,فست فود طلایی,0.058
2l1985,غذای ترکمنی مارال (شعبه وکیل آباد),p6jqw6,غذای ترکمنی مارال (شعبه وکیل آباد),1.231
5w3837,ساندویچ پیچ,znv5d1,ساندویچ پیچ,0.095
5gxrk4,چلو کبابی خانم مختاری,qyd119,کباب ذغالی خانم مختاری,0.019
54w6l4,کترینگ دختران آرزو,jyjryv,رستوران دختران آرزو,0.448
5mk1lg,فست فود تمیز,0qqglw,ساندویچ تمیز (شعبه ۱),0.029
5p8r1g,کترینگ صادقیه,p5x2gn,کترینگ صادقیه,0.019
277lyl,کترینگ پلازا,qydlod,کترینگ پلازا,0.081
2x71nm,رستوران آدینه,kl5odq,رستوران آدینه,0.125
2678p5,رستوران جردن ,94wxnn,رستوران و فست فود جردن,0.02
26z462,كترينگ آفتاب,0y75og,کترینگ آفتاب,0.028
51kgyk,پیتزا ساندویچ کش لقمه,dqe8vg,فست فود کش لقمه,0.003
2mym3g,پیتزا هزار و یک شب,kl66ek,فست فود هزار و یک شب,0.161
231npo,ایستگاه کباب,0r6mq8,ایستگاه کباب,0.01
5k648x,رستوران مجد وی آی پی,0wlvv8,چلوکبابی مجد شعبه 4,0.08
54l775,پیتزای گندم,0wzv8q,فست فود گندم,0.003
2k6894,دکتر کافی,6dglve,کافه دکتر کافی,0.365
2o9312,پیتزا ساندویچ شاهان (آسلین سابق),37jmjm,پیتزا ساندویچ شاهان (آسلین سابق),2.892
23zry8,فست فود لاویژ,3k8kzq,کبابی و چلوکبابی لاویژ,0.115
5xgmzy,فودهال گلستان,gn9nqn,فود هال زیست خاور (گلستان),0.077
2nl6zy,ساندویچ جمشید,3e6d92,فست فود جمشید,0.185
2p8rg6,فست فود فرشتگان,dqggo7,ساندویچ فرشتگان,0.008
2ngg45,فست فود شازده,85e49m,کافه فست فود شازده,0.059
2r66z8,طباخی یزدان,po2mok,طباخی یزدان,0.145
58gpp2,پیتزا سیسیلی,p4onmj,پیتزا سیسیلی,0.498
5yr7r2,ساندویچ آرمان,p87rlm,ساندویچ آرمان,0.023
2yoyxw,غذای سنتی سجاد,0l647n,غذای سنتی سجاد,0.011
5g7x3r,کترینگ باباحیدر,7jo8k2,آشپزخانه سنتی بابا حیدر,0.035
5r689p,اغذیه برادران ,me9wqv,اغذیه برادران,0.048
5r63mw,کافه رستوران بوم,3drj5w,رستوران بوم,0.022
5zlk7l,کترینگ رهام,3dm99g,کترینگ رهام,0.023
51y9z6,چلو کباب آرتان,0gomvn,کباب آرتان,0.018
2k3ylp,کباب بابک,0jn2jv,کباب بابک,0.588
238815,کباب سلطان (شعبه سیدرضی),0w94w5,رستوران و چلو کباب سلطان (سیدرضی),0.024
2p8p1y,کترینگ ساسانی,3xoevw,کترینگ ساسانی,0.484
