WKT,name,description
"POLYGON ((59.5459683 36.348753, 59.533437 36.3704568, 59.5193608 36.3841396, 59.5037396 36.3927073, 59.4793637 36.3993398, 59.4522412 36.3741887, 59.4632275 36.3658954, 59.4587643 36.3631307, 59.469064 36.3552509, 59.4656308 36.3506886, 59.4723256 36.3465408, 59.4900067 36.3465408, 59.5049412 36.3452964, 59.5442517 36.3451581, 59.5459683 36.348753))",قاسم آباد-کشاورزی,202
"POLYGON ((59.5900343 36.3123442, 59.6051695 36.2985221, 59.606296 36.2993348, 59.6067144 36.2993867, 59.6072079 36.2997931, 59.607857 36.300727, 59.6146739 36.3117583, 59.6199096 36.3201612, 59.6240295 36.3276296, 59.6223558 36.3285631, 59.6026147 36.3383124, 59.5960074 36.3413916, 59.5896989 36.3442261, 59.5802575 36.348858, 59.5754081 36.3500677, 59.5716744 36.3501369, 59.5692712 36.3497221, 59.5658379 36.348858, 59.5650576 36.348646, 59.5697353 36.34315, 59.5625256 36.3396586, 59.5706366 36.3297712, 59.5705936 36.3281462, 59.5736621 36.3278005, 59.5735977 36.3270571, 59.5743916 36.3265039, 59.5743487 36.324101, 59.5765374 36.3239108, 59.5786832 36.3228216, 59.5855361 36.3167059, 59.5900343 36.3123442))",شیرازی,204
"POLYGON ((59.5750404 36.2691298, 59.5778757 36.2843499, 59.5824247 36.2860104, 59.5875316 36.2892967, 59.585815 36.2909916, 59.5898491 36.2925828, 59.5838409 36.3008839, 59.5852779 36.3034291, 59.5690344 36.3089106, 59.5680045 36.309706, 59.560151 36.3150315, 59.5650004 36.3196997, 59.5698927 36.3242984, 59.5633696 36.3248171, 59.547963 36.3256123, 59.5445727 36.3263211, 59.5437788 36.3261655, 59.5409901 36.3148719, 59.5370162 36.3022395, 59.5377887 36.3006485, 59.545858 36.2949374, 59.5550419 36.2874659, 59.5565868 36.2853903, 59.5546986 36.2747349, 59.5574451 36.2729012, 59.5703197 36.2720708, 59.5750404 36.2691298))",فلسطین-ملک آباد,198
"POLYGON ((59.5442517 36.3451581, 59.5076878 36.3448816, 59.4897065 36.3464211, 59.4723256 36.3465408, 59.4656308 36.3506886, 59.4603093 36.3400421, 59.5409901 36.3148719, 59.5478566 36.3426693, 59.5442517 36.3451581))",وکیل آباد شمالی,209
"POLYGON ((59.4603093 36.3400421, 59.4621719 36.3325998, 59.4752181 36.328451, 59.4972766 36.3156576, 59.5045722 36.3103321, 59.5084346 36.3066663, 59.5123828 36.3043146, 59.5235408 36.299265, 59.5288623 36.2961522, 59.5333255 36.300441, 59.5361579 36.2997493, 59.5377887 36.3006485, 59.5370162 36.3022395, 59.5409901 36.3148719, 59.4603093 36.3400421))",وکیل آباد جنوبی,208
"POLYGON ((59.4603093 36.3400421, 59.4580019 36.3407626, 59.4550836 36.3391724, 59.4536245 36.3312902, 59.4568432 36.3314976, 59.4574869 36.3285935, 59.4595468 36.3282131, 59.4630659 36.3282131, 59.4609201 36.3272105, 59.4610918 36.3262424, 59.461521 36.3252397, 59.4585169 36.3231997, 59.4629801 36.3198112, 59.4645679 36.3187738, 59.4648254 36.3162841, 59.4673145 36.316872, 59.4686878 36.3178056, 59.4693315 36.3157654, 59.4688166 36.3145897, 59.4663275 36.312999, 59.4667995 36.3096792, 59.4677866 36.3082613, 59.4704044 36.3069125, 59.4724214 36.3062209, 59.4738806 36.3068088, 59.4760263 36.30878, 59.4778717 36.3098521, 59.4793308 36.308538, 59.4776571 36.3059442, 59.4808329 36.3066359, 59.4825495 36.3069125, 59.4835794 36.3093334, 59.4855106 36.3084342, 59.4878281 36.3093334, 59.4914329 36.308538, 59.4938362 36.3085725, 59.4922483 36.3052525, 59.4943512 36.303212, 59.4952095 36.3026241, 59.4936645 36.3005143, 59.4925058 36.3002376, 59.4871414 36.3022436, 59.4863689 36.3028316, 59.4816053 36.3015865, 59.4816912 36.3006181, 59.4766272 36.2988541, 59.4836653 36.2936313, 59.4873131 36.2928357, 59.4881714 36.2901377, 59.4908321 36.2892729, 59.4950378 36.2920056, 59.4956386 36.2904836, 59.4927204 36.2883043, 59.4937504 36.2866785, 59.4980419 36.2867823, 59.5024193 36.2888232, 59.5013035 36.2874741, 59.5024622 36.2856753, 59.5031488 36.2848105, 59.5054663 36.2852256, 59.5058096 36.2848451, 59.5030201 36.2834613, 59.5065821 36.276992, 59.5074404 36.276819, 59.5121611 36.2822851, 59.5111311 36.2869898, 59.5130194 36.2879584, 59.5167101 36.2890654, 59.5190359 36.2880194, 59.5244432 36.2900257, 59.5277906 36.2905099, 59.5297647 36.2898873, 59.530623 36.2853211, 59.5340563 36.2871891, 59.5398069 36.2847676, 59.5384336 36.2835915, 59.533198 36.2835915, 59.5320822 36.2810315, 59.5346571 36.2780562, 59.537747 36.275842, 59.5391203 36.273005, 59.5395065 36.270583, 59.5403648 36.2686108, 59.5437551 36.2660157, 59.5507933 36.2641126, 59.5578314 36.263559, 59.5644403 36.2620018, 59.572208 36.2613444, 59.5750404 36.2691298, 59.5703197 36.2720708, 59.5574451 36.2729012, 59.5546986 36.2747349, 59.5551277 36.2775719, 59.5565868 36.2853903, 59.5550419 36.2874659, 59.545858 36.2949374, 59.5377887 36.3006485, 59.5361579 36.2997493, 59.5333255 36.300441, 59.5288623 36.2961522, 59.5235408 36.299265, 59.5123828 36.3043146, 59.5084346 36.3066663, 59.5045722 36.3103321, 59.4972766 36.3156576, 59.4752181 36.328451, 59.4621719 36.3325998, 59.4603093 36.3400421))",هشتصدمتریها,197
"POLYGON ((59.3615392 36.3250557, 59.3565611 36.3205607, 59.3503812 36.3214252, 59.3474201 36.3189701, 59.3455747 36.3160309, 59.346948 36.312815, 59.3379787 36.3138524, 59.3327001 36.3150973, 59.3270782 36.3147515, 59.3187956 36.310913, 59.3156627 36.3071435, 59.3173793 36.3048263, 59.3227867 36.3066939, 59.3270353 36.3076622, 59.3303827 36.3109821, 59.3405536 36.3097026, 59.3455318 36.3075585, 59.3524626 36.303711, 59.3543938 36.3030539, 59.3585137 36.3057861, 59.3632988 36.3069619, 59.3660239 36.3078438, 59.3830613 36.3083107, 59.3940905 36.3140858, 59.3965367 36.3056131, 59.3979958 36.2993877, 59.4077805 36.2993877, 59.4065847 36.3115047, 59.4115199 36.3168647, 59.4164123 36.3236765, 59.4293727 36.3301765, 59.4395008 36.3375748, 59.4449492 36.3430096, 59.4509324 36.3581378, 59.4409761 36.3631145, 59.4262132 36.3691965, 59.4159135 36.3672614, 59.4152269 36.3570319, 59.42175 36.3520549, 59.4170293 36.339127, 59.4129953 36.3325586, 59.3915161 36.3237249, 59.3740496 36.3174663, 59.3676981 36.3193682, 59.3615392 36.3250557))",طرقبه,206
"POLYGON ((59.2476445 36.3646467, 59.2421942 36.3591172, 59.2466574 36.3562832, 59.2557555 36.361329, 59.2675572 36.3788487, 59.2710763 36.3867261, 59.2849808 36.3894899, 59.2957526 36.3907336, 59.3003445 36.3898527, 59.3016534 36.3855169, 59.3100221 36.3841209, 59.3312867 36.3953487, 59.3492253 36.406333, 59.3662627 36.3997011, 59.3842013 36.3991139, 59.38742 36.3999775, 59.395531 36.3952796, 59.4057448 36.3831535, 59.4088776 36.3754831, 59.4159135 36.3672614, 59.4262132 36.3691965, 59.4163878 36.3929651, 59.4021828 36.4052623, 59.395531 36.4048132, 59.3915398 36.402879, 59.3887074 36.4028444, 59.3836005 36.4039843, 59.3627542 36.4154573, 59.3555445 36.4160098, 59.3469614 36.415181, 59.3424553 36.4126253, 59.3278641 36.4030235, 59.3156332 36.4041979, 59.2942184 36.4006747, 59.26907 36.3947333, 59.2546505 36.3868567, 59.2476445 36.3646467))",شاندیز,203
"POLYGON ((59.5852779 36.3034291, 59.5895622 36.3119638, 59.5900343 36.3123442, 59.5898841 36.3126382, 59.585893 36.3163901, 59.5786832 36.3228216, 59.5765374 36.3239108, 59.5743487 36.324101, 59.5743916 36.3265039, 59.5735977 36.3270571, 59.5736621 36.3278005, 59.5705936 36.3281462, 59.5706366 36.3297712, 59.5625256 36.3396586, 59.5697353 36.34315, 59.5650576 36.348646, 59.5442517 36.3451581, 59.5478566 36.3426693, 59.5437788 36.3261655, 59.5445727 36.3263211, 59.547963 36.3256123, 59.5589279 36.3250596, 59.5644533 36.3247483, 59.5698927 36.3242984, 59.560151 36.3150315, 59.5690344 36.3089106, 59.5852779 36.3034291))",فرامرز-تورج,195
"POLYGON ((59.6461971 36.2599696, 59.6403322 36.2655262, 59.6364269 36.269194, 59.6321569 36.2730518, 59.629818 36.2752661, 59.6267779 36.2781867, 59.6241102 36.2806112, 59.6212633 36.2832376, 59.6182738 36.2860771, 59.6149049 36.289225, 59.6051695 36.2985221, 59.5900343 36.3123442, 59.5895622 36.3119638, 59.5852779 36.3034291, 59.5838409 36.3008839, 59.5898491 36.2925828, 59.585815 36.2909916, 59.5875316 36.2892967, 59.5824247 36.2860104, 59.5778757 36.2843499, 59.5750404 36.2691298, 59.5776329 36.2678099, 59.5787058 36.2671179, 59.5797358 36.2664259, 59.5820103 36.2637615, 59.5866881 36.2591592, 59.5885763 36.257775, 59.5902071 36.2571175, 59.5914946 36.2568061, 59.5941982 36.2566676, 59.5977173 36.2559409, 59.6026955 36.2540721, 59.6068583 36.2518919, 59.6092615 36.2509575, 59.6112356 36.2508536, 59.6149554 36.2525558, 59.6271862 36.2545284, 59.6324219 36.2506177, 59.6402325 36.2536978, 59.6439661 36.2467414, 59.6493306 36.2486104, 59.6423949 36.2581808, 59.6430815 36.2588037, 59.6461971 36.2599696))",امام رضا,196
